iter	Passed	Remaining
660	3031	1554
661	3035	1549
662	3039	1545
663	3045	1540
664	3050	1536
665	3056	1532
666	3063	1529
667	3066	1523
668	3069	1518
669	3073	1513
670	3077	1509
671	3081	1504
672	3085	1499
673	3090	1494
674	3097	1491
675	3101	1486
676	3107	1482
677	3112	1478
678	3118	1474
679	3125	1471
680	3129	1465
681	3132	1460
682	3135	1455
683	3139	1450
684	3142	1445
685	3146	1440
686	3150	1435
687	3154	1430
688	3157	1425
689	3162	1420
690	3165	1415
691	3172	1412
692	3178	1408
693	3182	1403
694	3188	1399
695	3193	1394
696	3196	1389
697	3201	1385
698	3205	1380
699	3209	1375
700	3212	1370
701	3215	1365
702	3219	1360
703	3223	1355
704	3228	1350
705	3232	1346
706	3237	1341
707	3242	1337
708	3245	1332
709	3252	1328
710	3255	1323
711	3259	1318
712	3263	1313
713	3268	1309
714	3275	1305
715	3278	1300
716	3282	1295
717	3287	1291
718	3293	1287
719	3298	1282
720	3302	1277
721	3308	1273
722	3311	1268
723	3316	1264
724	3321	1259
725	3326	1255
726	3330	1250
727	3335	1246
728	3341	1242
729	3345	1237
730	3351	1233
731	3357	1229
732	3362	1224
733	3367	1220
734	3374	1216
735	3377	1211
736	3380	1206
737	3384	1201
738	3389	1196
739	3394	1192
740	3398	1188
741	3402	1183
742	3423	1184
743	3426	1179
744	3431	1174
745	3436	1169
746	3440	1165
747	3444	1160
748	3448	1155
749	3453	1151
750	3456	1145
751	3459	1140
752	3463	1136
753	3468	1131
754	3473	1127
755	3479	1122
756	3486	1119
757	3492	1115
758	3496	1110
759	3499	1105
760	3503	1100
761	3507	1095
762	3510	1090
763	3514	1085
764	3517	1080
765	3521	1075
766	3524	1070
767	3528	1065
768	3531	1060
769	3534	1055
770	3537	1050
771	3541	1045
772	3544	1040
773	3548	1036
774	3551	1031
775	3554	1026
776	3557	1021
777	3560	1015
778	3563	1011
779	3567	1006
780	3569	1000
781	3572	995
782	3575	991
783	3579	986
784	3581	981
785	3584	976
786	3587	970
787	3590	965
788	3594	961
789	3598	956
790	3602	951
791	3605	946
792	3608	942
793	3612	937
794	3615	932
795	3618	927
796	3622	922
797	3625	917
798	3628	912
799	3632	908
800	3635	903
801	3638	898
802	3641	893
803	3644	888
804	3648	883
805	3651	878
806	3655	874
807	3659	869
808	3662	864
809	3667	860
810	3671	855
811	3675	851
