职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
资深数据管理员,8千-1.5万,成都-武侯区,3-5年,本科,['CRF设计'],北京科林利康医学研究有限公司,民营 ,500-999人 
产品开发工程师-数据挖掘,100-150/天,成都-成华区,无经验,本科,"['数据挖掘', '机器学习', '数据清洗', 'ETL', 'Python']",成都维泰油气能源技术有限公司,民营 ,20-99人 
SAS程序员-SAS Programmer（成都）,8千-1.6万,成都-武侯区,1-3年,本科,"['SAS', '医学']",百利药业,民营 ,1000-9999人 
bi/大数据,1.1万-1.4万,成都-武侯区,3-5年,本科,"['Spark', 'Hadoop', 'HIVE', 'FineReport (帆软)']",深圳市拓保软件有限公司,民营 ,1000-9999人 
体检中心报告专员,3千-4千,成都,1-3年,中专/中技,['报告审查员'],成都武侯环亚华康体检门诊部有限公司,民营 ,100-299人 
数据分析师课程/培训招生（成都）,5千-8千,成都-锦江区,不限,大专,"['数据分析', 'Python', '机器学习', '分类算法', 'SPSS', '运营数据分析', '销售数据分析', '游戏数据分析']",51Testing,民营 ,100-299人 
大数据开发工程师（java）(008929),1万-2万,成都-武侯区,1-3年,本科,"['Java', 'SPRINGBOOT', 'SPRINGCLOUD', 'MySQL', 'MongoDB', 'Hadoop', 'Docker', 'Git']",奇安信,民营 ,1000-9999人 
统计编程员（SP）,5千-8千,成都-武侯区,不限,本科,"['SAS', 'SPSS', 'R语言', 'STATA']",北京科林利康医学研究有限公司,民营 ,500-999人 
大数据开发工程师,1.2万-1.5万,成都,3-5年,大专,"['Hadoop', 'HIVE']",成都迈思信息技术有限公司,民营 ,500-999人 
销售支持,面议,成都,1年以下,本科,[],北京三快在线科技有限公司,上市公司 ,1000-9999人 
大数据开发工程师,1万-1.5万,成都-锦江区,3-5年,大专,"['Hadoop', 'HIVE', 'Spark', 'SQL']",深圳市德科信息技术有限公司,股份制企业 ,1000-9999人 
临床研究数据与统计事务专员,5千-1万,成都-锦江区,不限,本科,"['CRF', '临床数据分析']",沃森生物,上市公司 ,1000-9999人 
银行票据分析,3千-4千,成都-双流区,不限,学历不限,['相关分析'],重庆贝莱利科技有限公司,民营 ,20人以下 
年金投资支持岗,8千-1万,成都-锦江区,3-5年,本科,"['风险分析', '行业分析', '政策分析', '资产管理数据分析', '投融资数据分析']",泰康养老保险股份有限公司四川分公司,股份制企业 ,10000人以上 
大数据开发工程师,1万-1.5万,成都-天府新区,1-3年,本科,['Java'],中国软件,上市公司 ,10000人以上 
SAS Programmer(J10354),1万-1.5万,成都,1-3年,硕士,['CRO'],昆拓信诚医药研发(北京)有限公司,外商独资 ,100-299人 
大数据工程师（十三薪）,1.4万-1.6万,成都-锦江区,3-5年,本科,"['Hadoop', 'SQL', 'BI', 'HIVE']",深圳新思,上市公司 ,1000-9999人 
大数据开发工程师,1.5万-1.6万,成都-锦江区,3-5年,大专,"['大数据开发', '数据采集', '架构设计', '运维', 'Java', 'Kafka', 'Hadoop']",深圳市拓保软件有限公司,民营 ,1000-9999人 
数据开发工程师（Solv）,1.4万-2.5万,成都-高新区,3-5年,本科,"['数据架构', '数据分析', '数据仓库', 'Hive', 'MySQL', '数据挖掘']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
SAS编程员,1万-2万,成都-锦江区,1-3年,本科,"['SAS', '流行病学', '临床数据统计', 'SAS编程', '程序员', 'CRO', '临床试验']",斯丹姆,民营 ,500-999人 
研究主管/经理（地产）,7千-1.2万,成都,1-3年,大专,"['策划', '定性研究', '定量研究', '房地产/建筑']",成都辰坚市场信息咨询有限公司,民营 ,20-99人 
研究经理,8千-1.6万,成都,3-5年,本科,"['行业研究', '课题研究', '公共服务研究', '政府研究报告', '研究报告', '社会治理研究', '市场研究', '定量研究']",成都云策数据科技有限公司,民营 ,20-99人 
统计师（Statistician）/统计经理/高级经理,2.2万-3万,成都-锦江区,3-5年,本科,['临床数据分析'],百试达(上海)医药科技股份有限公司,民营 ,1000-9999人 
数据开发工程师,1.5万-2万,成都-高新区,3-5年,本科,"['ETL', 'SQLServer', 'Kettle']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
数字信息管理技术岗,8千-1.1万,成都-武侯区,不限,硕士,"['行业分析', '市场数据分析']",四川嘉源蓉创地质科技有限公司,国企 ,20-99人 
Data Analytics and Visualization,1.2万-2.3万,成都-武侯区,3-5年,本科,"['Scala', 'Spark', 'Tableau', 'Hive', 'Python', 'Power-BI']",亿磐系统科技(苏州)有限公司,外商独资 ,500-999人 
高级数据分析工程师,1.5万-3万,成都-武侯区,5-10年,本科,"['数据分析', '需求分析']",中电智元数据科技有限公司,其它 ,20-99人 
宏观及资管市场研究员,1万-1.5万,成都-武侯区,1-3年,硕士,"['金融', '信托数据分析', 'Python', '金融业', '行情分析', '理财数据分析']",普益标准,民营 ,100-299人 
工商评级部分析师,1万-2万,成都-武侯区,1-3年,硕士,['债券评级'],中证鹏元资信评估股份有限公司,民营 ,300-499人 
大数据-能源/工业人工智能科学研究,3万-4万,成都-双流区,不限,博士,"['数据分析', '数据挖掘', '机器学习', 'Python']",智联猎头,上市公司 ,1000-9999人 
高级大数据工程师,1.2万-1.5万,成都-武侯区,5-10年,本科,"['Flink', 'Spark', 'Hadoop']",邦飞科技,民营 ,20-99人 
SAS统计程序员,7千-1.2万,成都-武侯区,不限,本科,"['临床数据分析', 'CRO', '临床试验']",康龙化成(成都)临床研究服务有限公司,合资 ,10000人以上 
Data Engineer,1.5万-2万,成都-高新区,3-5年,本科,"['ETL', '数据仓库']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
数据安全岗（全球500强上市企业/4-6个月年终奖）,1.5万-2万,成都-武侯区,5-10年,本科,"['数据库', 'PostgreSQL', 'MySQL', 'Redis', 'SQL']",平安金服,股份制企业 ,1000-9999人 
大数据开发工程师,面议,成都-锦江区,3-5年,大专,"['Spark', 'Hadoop', 'Sqoop', 'HIVE']",中软国际,上市公司 ,10000人以上 
临床试验SAS程序员,1万-1.5万,成都-高新区,1-3年,本科,"['SAS', '流行病学', 'SQL', '英语', '生物统计学']",外企德科,合资 ,1000-9999人 
决策优化算法设计师,2万-3万,成都-武侯区,不限,博士,"['数据挖掘', '数据分析', '大数据分析']",柏美迪康环境科技(上海)股份有限公司,上市公司 ,100-299人 
大数据开发工程师,1万-1.5万,成都,3-5年,本科,"['数据仓库', '数据处理', '数据挖掘', '数据分析', '数据库开发', '数据架构']",成都酉辰科技有限公司,民营 ,20-99人 
流式大数据处理研发工程师,1万-1.2万,成都-锦江区,1-3年,本科,"['Hadoop', '数据处理', '大数据开发', '大数据分析']",电信科学技术第五研究所有限公司,国企 ,500-999人 
大数据开发+外派平安科技项目,面议,成都-锦江区,3-5年,本科,"['SQL', 'BI', 'Hadoop', 'Spark', 'SmartBI', 'HIVE']",中软国际,上市公司 ,10000人以上 
sas程序员(SAS Programer),2.5万-5万,成都-锦江区,3-5年,本科,"['SAS', 'SDTM', 'ADAM', 'SAS程序']",爱恩康临床医学研究(北京)有限公司,外商独资 ,10000人以上 
BI开发工程师,1.1万-1.8万,成都-金牛区,3-5年,本科,"['BI', '数据分析', 'ETL', '银行', '金融']",深圳市赢胜数据科技有限公司,其它 ,500-999人 
大数据工程师（成都）,1.5万-2万,成都,3-5年,大专,"['数据库', '数据仓库', 'ETL', 'SQL', 'Oracle', '数据处理']",杭州雅拓信息技术有限公司,民营 ,300-499人 
Java数据挖掘分析应用研发工程师,1万-1.2万,成都-锦江区,3-5年,本科,"['Java', '数据库', '数据挖掘']",电信科学技术第五研究所有限公司,国企 ,500-999人 
经营分析专家,面议,成都,3-5年,本科,[],北京三快在线科技有限公司,上市公司 ,1000-9999人 
大数据开发工程师,1.3万-1.8万,成都-武侯区,3-5年,大专,"['大数据开发', 'Hadoop', 'Spark', 'Flume', 'Kafka', 'Streaming', 'HIVE', 'FineReport (帆软)']",法本信息,上市公司 ,1000-9999人 
生物统计师,1万-2万,成都-武侯区,3-5年,本科,"['临床数据分析', 'CRO']",康龙化成(成都)临床研究服务有限公司,合资 ,10000人以上 
云数据中心网络安全工程师,8千-1.6万,成都,3-5年,本科,"['网络安全', '云数据']",民航成都电子技术有限责任公司,国企 ,500-999人 
大数据开发工程师,1.4万-2.5万,成都-高新区,3-5年,本科,"['Hive', '数据库开发', '数据库', '数据架构', '数据分析']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
临床数据总监（成都）,3.5万-5万,成都-武侯区,5-10年,本科,"['临床试验', '临床数据分析']",百利药业,民营 ,1000-9999人 
C/C++/Java/Python/Go/前端/测试/数据分析,1.5万-3万,成都-郫都区,不限,本科,"['Python', '后端开发', '软件工程师', '全栈开发', 'MVC开发']",外企德科,合资 ,1000-9999人 
医学专员,7千-1.4万,成都-武侯区,1-3年,硕士,"['医学', '生物医疗', 'SAS', 'SPSS']",特宝生物,上市公司 ,1000-9999人 
sas programmer（程序员）,8千-1.6万,成都-高新区,1-3年,本科,"['ADAM', 'SAS', 'STATA', '生物统计学', 'SPSS', 'R语言', '数据挖掘', '药物研究']",上海百利佳生医药科技有限公司,外商独资 ,500-999人 
Data Engineer,1.5万-2万,成都-高新区,3-5年,本科,"['ETL', '数据仓库']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
数据管理经理,1.5万-2万,成都-武侯区,3-5年,本科,"['CRF设计', 'UAT', '临床试验', 'CRO']",杭州伊柯夫科技有限公司,合资 ,20-99人 
高级临床数据管理(DM Lead),1.5万-2.5万,成都-高新区,3-5年,本科,"['CRF设计', 'SQL', '英语', '临床数据管理']",外企德科,合资 ,1000-9999人 
BI技术顾问,1.2万-1.8万,成都,3-5年,本科,['BI'],通威股份,上市公司 ,10000人以上 
可靠性测试-数据分析,2万-2.9万,成都-郫都区,3-5年,本科,"['JMP', '可靠性测试']",阿尔泰克,外商独资 ,1000-9999人 
大数据开发工程师,1.5万-2万,成都-高新区,3-5年,本科,"['Hive', '数据库开发', '数据库', '数据架构', '数据分析']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
高级数据分析师,1.5万-3万,成都-武侯区,1-3年,硕士,"['SQL', '决策树', '建模']",北京安德信业信息咨询有限责任公司,民营 ,100-299人 
大数据开发,1万-1.3万,成都-高新西区,3-5年,大专,"['Java', 'SPARK STREAMING', 'Flink']",重庆软维科技有限公司,民营 ,300-499人 
云数据中心系统工程师,8千-1.5万,成都,1-3年,本科,"['Linux', '前端开发', 'AJAX']",民航成都电子技术有限责任公司,国企 ,500-999人 
医学文献分析专员,7千-1.4万,成都,1-3年,硕士,"['医学', '生物统计学', 'STATA', 'Python', 'PUBMED', 'EMBASE', '立项', 'SCI']",成都健数科技有限公司,民营 ,20-99人 
SAS程序员,1.5万-2万,成都-武侯区,1-3年,本科,"['SAS', 'R语言']",科锐国际,合资 ,1000-9999人 
sas programmer（程序员）,8千-1.6万,成都-双流区,1-3年,本科,"['ADAM', 'SAS', 'STATA', '生物统计学', 'SPSS', 'R语言', '数据挖掘', '药物研究']",上海百利佳生医药科技有限公司,外商独资 ,500-999人 
医学助理彭州,3千-6千,成都-彭州市,不限,大专,['医学'],成都第一制药有限公司,民营 ,500-999人 
临床数据经理（成都）,1.5万-3万,成都-武侯区,3-5年,本科,"['临床数据分析', '临床试验']",百利药业,民营 ,1000-9999人 
高级SAS程序员,1万-1.8万,成都,1-3年,本科,['SAS'],海思科医药,民营 ,1000-9999人 
资深统计编程员,9千-1.3万,成都-武侯区,3-5年,本科,"['SAS PROGRAMMER', 'SAS', 'SDTM', 'ADAM']",北京科林利康医学研究有限公司,民营 ,500-999人 
投资顾问,6千-9千,成都-武侯区,3-5年,本科,"['投资分析', '基本面分析', '行业分析', '技术面分析', '股票市场', '宏观经济分析', '公司分析']",湖南巨景证券投资顾问有限公司天府新区分公司,民营 ,500-999人 
SAS Programmer SAS程序员,1万-2万,成都-双流区,1-3年,本科,"['SAS', 'CDISC']",上海百利佳生医药科技有限公司,外商独资 ,500-999人 
市场调研,1.7万-3万,成都-武侯区,5-10年,本科,"['市场营销', '行业研究', '市场研究', '用户调研']",四川仙潭酒业销售有限公司,民营 ,1000-9999人 
BI工程师,1.3万-1.6万,成都-武侯区,5-10年,本科,['BI'],成都高新发展股份有限公司,国企 ,500-999人 
高级数据管理员/数据经理（新药）,1.4万-2.1万,成都-武侯区,5-10年,本科,"['生物统计学', '数据建模', '药物研究', 'SPSS', '药物临床', '数据库构建', '生物医疗', '数据管理']",苏州韬略生物科技股份有限公司,股份制企业 ,20-99人 
bi开发工程师,1.3万-1.7万,成都-武侯区,3-5年,本科,['Power BI'],成都妍丹信息科技有限公司,民营 ,20-99人 
SAS Programmer编程,1.5万-2.5万,成都-锦江区,1-3年,本科,"['SAS', 'SQL', '临床', '创新药']",成都嘉葆药银医药科技有限公司,民营 ,20-99人 
生物信息学工程师（多组学数据分析计算）,8千-1.5万,成都-高新区,不限,硕士,"['生物技术', '数据统计分析', '蛋白组学', 'R']",杭州云检医学科技有限公司,民营 ,20-99人 
临床数据管理经理,1.5万-3万,成都-锦江区,5-10年,本科,"['CRF设计', 'SAS']",百试达(上海)医药科技股份有限公司,民营 ,1000-9999人 
数据开发工程师（英语良好）,1.5万-2万,成都-高新区,3-5年,本科,"['BI', 'ETL', '数据仓库', 'Python']",成都聚思力信息技术有限公司,外商独资 ,1000-9999人 
助理生物统计编程经理,1.6万-2.6万,成都,3-5年,本科,['SAS'],海思科医药,民营 ,1000-9999人 
资深生物统计师,2万-3.5万,成都-高新区,3-5年,硕士,"['生物工程', '临床数据分析', '医药科研', '临床试验']",上海百利佳生医药科技有限公司,外商独资 ,500-999人 
BI研发组长（医疗信息化）,1.5万-2.5万,成都-双流区,5-10年,本科,"['BI', '数据库', 'ETL', '数据建模', 'Tableau', 'Power BI', 'Kettle', 'FineBI']",深圳达实旗云智慧医疗有限公司,民营 ,100-299人 
市场调研经理,2万-4万,成都-武侯区,5-10年,本科,"['行业研究', '竞品分析', '市场研究']",四川方胜人力资源服务有限公司,其它 ,100-299人 
大数据开发工程师,1.2万-1.5万,成都-武侯区,3-5年,本科,"['MySQL', 'Oracle', 'ETL']",深圳市拓保软件有限公司,民营 ,1000-9999人 
量化模型研究员,1万-2万,成都,1-3年,硕士,"['量化', '模型', '金融', '资产配置', '金融产品']",普益标准,民营 ,100-299人 
生物统计师/高级生物统计师(创新药),1.5万-3万,成都-武侯区,3-5年,硕士,"['SAS', '数据建模', '流行病学', '生物医疗', '药物研究', '数据库构建', '药物临床研究']",苏州韬略生物科技股份有限公司,股份制企业 ,20-99人 
大数据开发工程师,面议,成都-锦江区,3-5年,大专,"['Hadoop', 'Spark', 'HIVE']",中软国际,上市公司 ,10000人以上 
生物统计师/经理,2万-3万,成都,3-5年,硕士,"['CFDA', '临床试验']",上海沛生企业管理中心,合资 ,20-99人 
市场调研-化学方向,1万-2万,成都-武侯区,无经验,硕士,"['化学小分子原料', '天然化合物', '香精香料', '医药中间体', '发酵类', '供应商调查与管理', '市场调查', '产品检索']",北京安必奇生物科技有限公司,民营 ,300-499人 
统计编程资深经理,2万-3.5万,成都-高新区,5-10年,本科,"['生物工程', '临床数据分析', 'CRO', '医药科研', '临床试验']",上海百利佳生医药科技有限公司,外商独资 ,500-999人 
无人机数据链处理工程师,1.5万-2万,成都,1-3年,本科,['C/C++'],四川腾盾科技有限公司,民营 ,100-299人 
生物统计师/高级生物统计师(创新药),1.5万-3万,成都-武侯区,3-5年,硕士,"['SAS', '数据建模', '流行病学', '生物医疗', '药物研究', '数据库构建', '药物临床研究']",苏州韬略生物科技股份有限公司,股份制企业 ,20-99人 
大数据工程师,面议,成都,5-10年,本科,"['Java', '分布式计算', '数据架构', 'Flink', 'Hadoop', '数仓开发']",新电信息科技（成都）有限公司,外商独资 ,500-999人 
统计总监,2.5万-5万,成都-武侯区,5-10年,硕士,"['SAS', 'CDISC', 'FDA认证', 'CFDA认证', 'GCP认证']",杭州伊柯夫科技有限公司,合资 ,20-99人 
SAS（高级）程序员（经理）,1.5万-2.5万,成都,1-3年,本科,"['SDTM', 'ADAM', 'SAS', 'TFLS']",海思科医药,民营 ,1000-9999人 
数据分析员助理/不加班双休/包住宿,8千-1万,成都-武侯区,不限,大专,"['回归分析', '多元统计分析', '因子分析', '聚类分析', '相关分析', 'ROC分析', '效度分析', '信度分析']",深圳市点时创新科技有限公司坂田分公司,民营 ,100-299人 
助理生物统计编程经理,1.8万-2.5万,成都-温江区,3-5年,本科,"['SAS', '生物统计学', 'CRF设计']",海思科医药,民营 ,1000-9999人 
数据产品分析专员/包住宿,8千-1万,成都-武侯区,1年以下,大专,"['数据分析', 'Excel']",深圳市点时创新科技有限公司坂田分公司,民营 ,100-299人 
生物统计编程（高级/助理）经理,2.5万-3.5万,成都-温江区,5-10年,本科,"['生物统计学', 'SAS编程', '流行病学']",海思科医药,民营 ,1000-9999人 
数据分析类（凤凰计划）,8千-1万,无锡-江阴市,不限,本科,"['数据分析', '货品分析']",海澜集团,民营 ,10000人以上 
数据分析组长,8千-9千,无锡,3-5年,本科,['数据分析、汇总、整理'],小刀新能源科技股份有限公司,股份制企业 ,100-299人 
数据分析师,6千-9千,无锡-江阴市,不限,本科,"['数据分析', 'Python', 'Java', '数据统计', 'Excel']",海澜智云科技有限公司,民营 ,300-499人 
临床数据协调员/临床数据分析/DM,8千-1.2万,无锡-新吴区,1-3年,本科,"['临床数据管理', 'CRF设计', '数据核查', 'CDISC', 'GCP认证']",上海凌先医药科技有限公司,民营 ,100-299人 
数据分析,5千-7千,无锡-江阴市,不限,本科,"['数据分析', '统计学', '销售业务数据']",海澜之家集团股份有限公司,民营 ,10000人以上 
数据分析,5千-1万,无锡-锡山区,1-3年,大专,"['数据分析', 'BI']",爱玛科技,民营 ,1000-9999人 
数据分析师,1万-1.2万,无锡-梁溪区,不限,大专,"['Java', 'Python', 'SQL']",无锡市伽逸数据服务有限公司,其它 ,20人以下 
数据分析专员,8千-1.2万,无锡-梁溪区,1-3年,本科,"['数据分析', 'SQL', '回归分析']",无锡一技信息科技有限公司,民营 ,300-499人 
数据分析员,5千-7千,无锡,1-3年,本科,"['数据分析', '多元统计分析', '相关分析']",无锡招商城有限公司,上市公司 ,100-299人 
数据分析师,5千-7千,无锡,不限,本科,['数据分析'],特丽亮,民营 ,1000-9999人 
经营数据分析,1万-1.2万,无锡-梁溪区,3-5年,本科,"['渠道销售', '食品/饮料', '日化']",邮乐中国,外商独资 ,500-999人 
数据分析师,6千-1万,无锡-新吴区,3-5年,本科,"['SQL', 'Python', '分析支持', '数据挖掘', '数据模型', 'R', 'Excel']",无锡源石云科技有限公司,民营 ,100-299人 
数据分析员,5千-8千,无锡-江阴市,3-5年,本科,"['数据分析', '销售数据分析']",双良集团有限公司,民营 ,1000-9999人 
数据分析类,6千-8千,无锡-江阴市,不限,本科,"['数据分析', '统计学', '销售业务数据']",海澜之家集团股份有限公司,民营 ,10000人以上 
数据分析工程师,6千-8千,无锡,不限,本科,"['化学', '环境科学与工程', '环境检测', '环境工程']",聚源光电(无锡)有限公司,民营 ,20人以下 
物流数据分析,1万-1.2万,无锡-梁溪区,3-5年,本科,"['渠道销售', '食品/饮料', '日化']",邮乐中国,外商独资 ,500-999人 
数据分析师,6千-8千,无锡,3-5年,本科,"['SQL', 'Python', 'Excel']",无锡源石云科技有限公司,民营 ,100-299人 
数据分析师,5千-6千,无锡-锡山区,1-3年,本科,['Excel'],无锡泰锐森贸易有限公司,民营 ,100-299人 
数据分析师,5千-8千,无锡-梁溪区,5-10年,大专,"['Java', 'Python', 'Shell', 'Spark', 'Flume', '回归分析', '方差分析', '多元统计分析']",江苏星元数科企业管理有限公司,其它 ,100-299人 
电商数据分析师,6千-8千,无锡-梁溪区,不限,本科,"['数据分析', '大数据分析', '数据监控', '数据仓库', '商业数据分析', '数据采集']",无锡海途国际贸易有限公司,民营 ,20-99人 
数据分析师,8千-1.3万,无锡-新吴区,3-5年,本科,"['数据分析', '数据建模', '数据挖掘', 'SQL', 'BI', 'Python', '大数据分析']",易视腾科技股份有限公司,股份制企业 ,500-999人 
数据录入,6千-8千,无锡-宜兴市,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
数据分析师课程无锡/培训招生,8千-1万,无锡-梁溪区,不限,学历不限,"['SPSS', 'SAS', 'Wireshark', 'Hive', 'INFOSYs', 'CMMS', 'Excel', 'Stata']",51Testing,民营 ,100-299人 
数据分析师（无锡）,8千-1万,无锡-滨湖区,1-3年,本科,"['数据分析', 'SQL', 'Tableau', 'Python']",日邮物流（中国）有限公司,外商独资 ,1000-9999人 
经营分析高级专员,8千-1万,无锡,3-5年,本科,"['Power BI', 'Python', '运营管理', '项目运营', '经营数据分析', '市场运营', '数据运营', '推广运营']",无锡拓炎汽车服务有限公司,股份制企业 ,1000-9999人 
数据分析类（凤凰计划）,8千-9千,无锡-江阴市,不限,本科,['数据采集'],海澜之家集团股份有限公司,民营 ,10000人以上 
数据分析师（简道云）,1.4万-1.8万,无锡-锡山区,1-3年,本科,"['数据分析', 'SQL', 'BI', '大数据平台']",帆软软件有限公司,民营 ,1000-9999人 
数据分析师,1万-1.5万,无锡-滨湖区,不限,本科,"['决策树', 'Python', 'Shell', 'SQL', 'Spark']",上海直真君智,合资 ,20-99人 
数据分析岗（运营主管）,6千-1万,无锡-梁溪区,1-3年,本科,"['Python', '金融业', 'IT/互联网']",恒昌汇财,股份制企业 ,10000人以上 
数据工程师,1.3万-1.8万,无锡-新吴区,1-3年,本科,"['Python', 'SQL']",锐泰节能,民营 ,100-299人 
统计（物流专员）,4千-5千,无锡-锡山区,不限,本科,"['物流专员', '数据分析']",安能物流,合资 ,10000人以上 
统计编程专员,1万-1.5万,无锡-新吴区,1-3年,本科,['SAS'],上海凌先医药科技有限公司,民营 ,100-299人 
助理数据分析师,5千-8千,无锡,1-3年,本科,"['数据采集', '电商数据运营', 'Python', 'SQL', '业务数据模型', '经营数据分析', '金融数据分析', 'BI平台建设']",无锡源石云科技有限公司,民营 ,100-299人 
业务管理（支持岗）,6千-9千,无锡,1-3年,本科,['业务管理'],平安普惠融资担保有限公司无锡分公司,上市公司 ,1000-9999人 
BI商业数据分析课程无锡/培训招生,7千-1万,无锡-梁溪区,不限,大专,"['制造业', '游戏', '电商', '互联网', '房地产/建筑']",51Testing,民营 ,100-299人 
数据开发工程师（初级）,9千-1.5万,无锡-锡山区,不限,本科,['SQL'],无锡锡银金科信息技术有限责任公司,股份制企业 ,20-99人 
大数据开发工程师,1.1万-1.7万,无锡-滨湖区,3-5年,大专,"['Spark', 'Hadoop', 'Sqoop', 'Kafka', 'HIVE']",江苏开拓信息与系统有限公司,民营 ,100-299人 
数据分析师,1万-1.5万,无锡-新吴区,3-5年,本科,"['FineReport', 'Power-BI']",无锡中天丝路云联纺织股份有限公司,民营 ,100-299人 
货品分析,5千-7千,无锡-江阴市,不限,大专,"['商业分析', 'SPS', '数据分析']",海澜之家集团股份有限公司,民营 ,10000人以上 
0351MP-数据应用岗,1万-1.5万,无锡,无经验,本科,[],中国平安财产保险股份有限公司无锡分公司,合资 ,500-999人 
市场助理(数据分析）济南,6千-8千,无锡-梁溪区,1年以下,大专,"['汽车行业', 'excel', '数据分析', '数据透视表', 'VLOOKUP', '销售助理', '广告/传媒']",上海通泽广告有限公司,民营 ,100-299人 
数据分析师,1.1万-1.6万,无锡,不限,大专,"['数据分析', 'Oracle', 'SQL', 'Python', '商业数据分析', '金融数据分析', '运营数据分析']",淄博安顺达商务服务有限公司,民营 ,20-99人 
大数据开发工程师,1.5万-2万,无锡-新吴区,1-3年,本科,"['大数据开发', 'BI', 'Tableau', '数据库']",法本信息,上市公司 ,1000-9999人 
助理数据分析师,6千-8千,无锡-新吴区,1-3年,本科,"['医学', '数据挖掘', 'SPSS', 'SAS', '生物统计学']",立森印迹诊断技术(无锡)有限公司,外商独资 ,20-99人 
销售分析员,5千-7千,无锡-江阴市,无经验,本科,"['数据分析', '销售业务数据']",海澜集团,民营 ,10000人以上 
贝壳找房-数据分析专员/主管,7千-9千,无锡-滨湖区,1-3年,本科,"['商业数据分析', '策略运营', '数据监控', '销售数据运营', '经营数据分析', '增长运营', '市场数据分析']",贝壳找房科技有限公司,上市公司 ,10000人以上 
项目数据分析工程师,5千-8千,无锡-新吴区,1-3年,本科,['数据分析'],康姆德润达(无锡)测量技术有限公司,外商独资 ,20-99人 
数据挖掘分析师,8千-1.5万,无锡-滨湖区,1-3年,本科,"['Python', 'Pandas', 'NumPy', 'Sklearn', '机器学习算法']",双良集团有限公司,民营 ,1000-9999人 
业务分析专员（英语流利）,面议,无锡-新吴区,不限,本科,"['数据分析', '业务运营']",文思海辉技术有限公司 Pactera Technology International Limited,国企 ,10000人以上 
统计学质量助理工程师,6千-8千,无锡-锡山区,1-3年,本科,"['六西格玛', 'SPC']",乐星汽车技术(无锡)有限公司,外商独资 ,100-299人 
报表开发,1万-1.7万,无锡-江阴市,不限,大专,"['Kettle', '数据分析', 'Datastage', 'ODI', 'FineReport (帆软)']",博彦集智科技有限公司,股份制企业 ,10000人以上 
统计师,1万-1.5万,无锡-惠山区,1-3年,本科,"['SAP', 'SAR']",明智医疗科技(上海)有限公司,民营 ,20-99人 
环境专业---储备数据分析工程师,6千-1万,无锡-新吴区,1-3年,本科,"['环境工程', '环境科学与工程', '咨询服务', 'ORIGIN', 'MATLAB']",无锡中科光电技术有限公司,上市公司 ,1000-9999人 
大数据开发储备生,150-200/天,无锡-滨湖区,无经验,本科,"['SQL', 'Hadoop']",江苏开拓信息与系统有限公司,民营 ,100-299人 
数据开发工程师（高级）,1.4万-2万,无锡-锡山区,5-10年,本科,['SQL'],无锡锡银金科信息技术有限责任公司,股份制企业 ,20-99人 
统计编程专员,8千-1.2万,无锡,1-3年,本科,"['SAS', '流行病学', '生物统计学', '数据建模']",上海凌先医药科技有限公司,民营 ,100-299人 
市场调研专员,5千-1万,无锡,1-3年,本科,"['不锈钢', '钢铁行业', '市场调研', '产品推广']",华新丽华股份有限公司,外商独资 ,500-999人 
大气污染治理工程师（数据分析）,6千-8千,无锡,1-3年,本科,"['环境工程', '环境科学与工程', '大气科学']",无锡中科光电技术有限公司,上市公司 ,1000-9999人 
数据流程工程师(J11288),8千-1.2万,无锡-新吴区,5-10年,本科,"['数据分析', 'BI', '流程管理', 'excel', '供应链']",无锡先导智能装备股份有限公司,上市公司 ,10000人以上 
数据开发工程师（中级）,1.1万-1.8万,无锡-锡山区,3-5年,本科,['SQL'],无锡锡银金科信息技术有限责任公司,股份制企业 ,20-99人 
财务数据分析师,6千-1.2万,无锡,不限,大专,"['资金规划', '经营分析', '收益分析', '财务报告']",淄博安顺达商务服务有限公司,民营 ,20-99人 
市场稽查,7千-9千,无锡-锡山区,3-5年,大专,"['门店稽查', '市场督察', '长期出差', '市场信息收集']",雅迪科技集团销售有限公司,上市公司 ,1000-9999人 
专利分析师,1万-2万,无锡-梁溪区,3-5年,本科,"['专利数据分析', '专利查新检索', '专利情报分析', '专利技术领域分析', '专利行业分析', '竞争者分析', '专利分析报告']",无锡华源专利商标事务所(普通合伙),民营 ,20-99人 
算法工程师/高级数据分析师,1万-1.5万,无锡-江阴市,1-3年,本科,"['C++', 'Python']",双良集团有限公司,民营 ,1000-9999人 
大数据开发-经营分析方向（银行项目，面试快）,1.5万-2.2万,无锡-锡山区,3-5年,大专,"['大数据开发', 'BI', 'ETL', '模型设计']",深圳市拓保软件有限公司,民营 ,1000-9999人 
助理临床数据员/DM,5千-7千,无锡-滨湖区,无经验,本科,['临床数据分析'],上海用正医药科技有限公司,民营 ,100-299人 
