职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
数据运营分析,8千-1.2万,上海-浦东新区,1-3年,本科,"['数据监控', '数据采集', '销售数据运营', '财务数据分析', '市场数据分析']",云竞(上海)电子科技有限公司,民营 ,500-999人 
数据分析师,6千-8千,上海-闵行区,不限,大专,"['数据分析', '商业数据分析', '运营数据分析', '经营数据分析', '市场数据分析']",安徽闳瑞幸成信息技术有限公司,民营 ,300-499人 
数据分析专员,8千-1.2万,上海-松江区,1-3年,本科,"['销售助理', '数据分析']",上海珂润箱包制品有限公司,民营 ,1000-9999人 
市场数据分析,8千-1万,上海-浦东新区,1-3年,本科,['全职'],上海微盼智能科技有限公司,合资 ,100-299人 
数据分析助理,6千-9千,上海-徐汇区,1-3年,本科,"['数据统计分析', 'excel']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
销售数据分析,6千-8千,上海-静安区,1-3年,本科,"['数据分析', '销售业务数据']",上海云盛科技发展有限公司,民营 ,20人以下 
数据分析员,7千-8千,上海-虹口区,3-5年,本科,"['SAS', 'SPSS', 'Python', 'Matlab']",初岛(上海)供应链科技有限公司,合资 ,20-99人 
销售数据分析,6千-8千,上海,不限,大专,"['金融业', '语音质检系统']",招商银行股份有限公司信用卡中心,股份制企业 ,1000-9999人 
市场数据分析,8千-1万,上海-徐汇区,1-3年,本科,"['市场营销', '数据统计分析']",上海微盼智能科技有限公司,合资 ,100-299人 
数据分析师,8千-1万,上海-浦东新区,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL']",中联惠捷信息技术有限公司,民营 ,500-999人 
数据分析专员,7千-9千,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'Python', 'Excel']",上海威田资产管理有限公司,民营 ,500-999人 
采购数据分析,6千-1万,上海-宝山区,1年以下,大专,"['生产型公司', '机械部件', '非生产性采购', '生产性采购']",上海金亭汽车线束有限公司,股份制企业 ,1000-9999人 
数据分析员,8千-1.1万,上海-杨浦区,1-3年,本科,"['决策树', '回归分析', '相关分析', '信度分析', '非参数检验', '描述统计', '效度分析', 'ROC分析']",上海链家地产,民营 ,10000人以上 
销售数据分析,6千-8千,上海,1-3年,学历不限,['数据分析'],上海通泽广告有限公司,民营 ,100-299人 
数据分析师,8千-1万,上海,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL']",中联惠捷信息技术有限公司,民营 ,500-999人 
数据分析师,6千-1万,上海-闵行区,不限,大专,['数据 分析  处理 工程师'],上海达质科技有限公司,民营 ,20-99人 
财务数据分析,7千-8千,上海-浦东新区,不限,本科,['数据分析'],上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
销售数据分析,6千-9千,上海-闵行区,1-3年,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 
数据分析工程师,6千-1万,上海-虹口区,1-3年,本科,"['数据分析', '数据采集', 'ETL', 'MySQL', 'Java', 'SQL', 'Tableau', 'HBase']",上海嘉勉信息技术有限公司,民营 ,20-99人 
数据分析师,8千-1万,上海-浦东新区,1年以下,本科,['数据分析'],中联惠捷信息技术有限公司,民营 ,500-999人 
数据分析（销售）,6千-8千,上海,3-5年,大专,['销售助理'],上海畅迪医疗科技有限公司,民营 ,20-99人 
采购数据分析,6千-1万,上海-宝山区,1年以下,大专,"['生产型公司', '机械部件', '非生产性采购', '生产性采购']",上海金亭汽车线束有限公司,股份制企业 ,1000-9999人 
