iter	Passed	Remaining
561	8076	6294
562	8094	6283
563	8107	6267
564	8121	6252
565	8136	6238
566	8147	6222
567	8159	6205
568	8171	6189
569	8184	6173
570	8198	6159
571	8212	6144
572	8229	6132
573	8243	6117
574	8260	6105
575	8274	6091
576	8286	6075
577	8300	6060
578	8311	6043
579	8323	6027
580	8333	6009
581	8344	5993
582	8354	5975
583	8367	5960
584	8380	5945
585	8394	5930
586	8408	5916
587	8424	5902
588	8437	5887
589	8461	5879
590	8480	5869
591	8505	5861
592	8542	5863
593	8555	5848
594	8574	5836
595	8594	5825
596	8609	5811
597	8624	5797
598	8642	5785
599	8655	5770
600	8665	5752
601	8674	5735
602	8684	5717
603	8696	5701
604	8710	5687
605	8724	5672
606	8739	5658
607	8755	5644
608	8766	5628
609	8779	5613
610	8792	5597
611	8802	5580
612	8813	5564
613	8827	5549
614	8839	5533
615	8851	5517
616	8864	5502
617	8879	5488
618	8893	5473
619	8907	5459
620	8922	5445
621	8934	5429
622	8946	5413
623	8959	5398
624	8972	5383
625	8985	5368
626	8998	5353
627	9013	5339
628	9028	5325
629	9044	5311
630	9057	5296
631	9072	5282
632	9086	5268
633	9104	5256
634	9120	5242
635	9130	5225
636	9144	5211
637	9160	5197
638	9180	5186
639	9202	5176
640	9220	5163
641	9233	5148
642	9246	5133
643	9258	5118
644	9277	5106
645	9290	5091
646	9302	5075
647	9314	5059
648	9326	5044
649	9339	5029
650	9352	5013
651	9362	4997
652	9376	4982
653	9388	4967
654	9403	4952
655	9416	4938
656	9430	4923
657	9445	4909
658	9460	4895
659	9473	4880
660	9488	4866
661	9507	4854
662	9525	4841
663	9537	4826
664	9556	4814
665	9566	4797
666	9578	4782
667	9590	4766
668	9600	4750
669	9615	4735
670	9629	4721
671	9641	4705
672	9653	4690
673	9668	4676
674	9685	4663
675	9699	4648
676	9712	4633
677	9726	4619
678	9740	4604
679	9754	4590
680	9767	4575
681	9780	4560
682	9793	4545
683	9808	4531
684	9830	4520
685	9847	4507
686	9862	4493
687	9878	4479
688	9892	4465
689	9907	4451
690	9923	4437
691	9943	4425
692	9956	4410
693	9971	4396
694	9983	4381
695	9999	4367
696	10015	4353
697	10029	4339
698	10042	4324
699	10058	4310
700	10074	4296
701	10086	4281
702	10100	4267
703	10115	4252
704	10132	4239
705	10146	4225
706	10163	4212
707	10183	4199
708	10195	4184
709	10211	4170
710	10228	4157
711	10243	4143
712	10256	4128
713	10270	4113
714	10280	4097
715	10295	4083
716	10310	4069
717	10322	4054
718	10335	4039
719	10346	4023
720	10365	4011
721	10377	3995
722	10392	3981
723	10403	3966
724	10415	3950
725	10428	3935
726	10442	3921
727	10455	3906
728	10470	3892
729	10481	3876
730	10492	3861
731	10506	3846
732	10518	3831
733	10531	3816
734	10541	3800
735	10555	3786
736	10566	3770
737	10577	3755
738	10589	3740
739	10603	3725
740	10615	3710
741	10629	3696
742	10642	3681
743	10656	3666
744	10671	3652
746	10691	3621
746	10699	3623
747	10717	3610
748	10730	3595
749	10740	3580
750	10754	3565
751	10767	3551
753	10787	3519
754	10800	3504
755	10811	3489
756	10823	3474
757	10838	3460
758	10851	3445
758	10856	3447
759	10869	3432
760	10886	3418
761	10905	3406
762	10923	3393
763	10938	3379
764	10957	3365
765	10972	3352
766	10988	3338
767	11001	3323
768	11016	3309
769	11028	3294
770	11049	3281
771	11064	3267
772	11080	3254
773	11096	3239
774	11107	3224
775	11121	3210
776	11141	3197
777	11159	3184
778	11173	3169
779	11186	3155
780	11203	3141
781	11219	3127
782	11242	3115
783	11254	3100
784	11270	3086
785	11285	3072
786	11299	3058
787	11313	3043
788	11329	3029
789	11345	3016
790	11363	3002
791	11376	2987
792	11391	2973
793	11401	2958
794	11415	2943
795	11427	2928
796	11437	2913
797	11447	2897
798	11460	2883
799	11473	2868
800	11484	2853
801	11498	2838
